WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,MARRIED,COMMON-LAW,SEPARATED/DIVORCED,NEVER_MARRIED,WIDOWED,NO_RESPONSE
Ward 1,3140,CRESTWOOD,1056,54,115,655,97,310
Ward 1,3330,PARKVIEW,1589,140,163,1141,133,147
Ward 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0
Ward 1,4010,ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0
Ward 1,4011,ANTHONY HENDAY,0,0,0,0,0,0
Ward 1,4018,ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0
Ward 1,4020,ALDERGROVE,2078,270,217,2088,137,560
Ward 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,0,0,121
Ward 1,4040,BELMEAD,1702,206,285,1846,127,443
Ward 1,4060,BRITANNIA YOUNGSTOWN,1069,283,345,1315,139,1554
Ward 1,4090,CANORA,742,232,233,1202,77,862
Ward 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0
Ward 1,4180,GLENWOOD,1469,329,360,1603,250,1271
Ward 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4200,HIGH PARK,430,63,68,358,53,410
Ward 1,4230,JASPER PARK,490,136,173,638,85,345
Ward 1,4240,LA PERLE,1891,290,341,2160,154,360
Ward 1,4290,MAYFIELD,625,129,153,676,90,289
Ward 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0
Ward 1,4310,MEADOWLARK PARK,913,117,182,770,229,455
Ward 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0
Ward 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0
Ward 1,4400,PLACE LARUE,0,0,0,0,0,0
Ward 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0
Ward 1,4470,RURAL WEST BIG LAKE,80,7,1,41,2,21
Ward 1,4471,TRUMPETER AREA,191,24,14,147,5,123
Ward 1,4473,HAWKS RIDGE,23,2,3,24,0,5
Ward 1,4474,STARLING,56,20,6,56,2,39
Ward 1,4475,KINOKAMAU PLAINS AREA,39,4,5,47,3,18
Ward 1,4485,LEWIS FARMS INDUSTRIAL,15,4,7,20,2,26
Ward 1,4486,STEWART GREENS,0,0,0,0,0,0
Ward 1,4487,SECORD,971,150,53,771,17,175
Ward 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
Ward 1,4500,SHERWOOD,408,98,95,503,45,231
Ward 1,4510,STONE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4520,SUMMERLEA,642,109,122,556,96,505
Ward 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0
Ward 1,4540,TERRA LOSA,690,101,247,556,228,393
Ward 1,4580,WEST JASPER PLACE,841,171,257,1063,162,537
Ward 1,4590,WEST MEADOWLARK PARK,1056,237,245,1185,116,841
Ward 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0
Ward 1,4620,WESTVIEW VILLAGE,583,196,160,494,82,464
Ward 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0
Ward 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0
Ward 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0
Ward 1,4660,YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0
Ward 1,4670,WINTERBURN INDUSTRIAL AREA WEST,2,0,2,4,3,125
Ward 1,4700,BRECKENRIDGE GREENS,889,107,89,682,53,80
Ward 1,4710,POTTER GREENS,837,61,44,470,43,74
Ward 1,4730,SUDER GREENS,1382,164,139,1273,56,251
Ward 1,4740,WEBBER GREENS,771,72,40,618,17,226
Ward 1,4750,ROSENTHAL,53,8,1,39,0,5
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0
Ward 2,1170,PRINCE RUPERT,346,107,111,575,44,171
Ward 2,1230,SPRUCE AVENUE,326,121,98,582,45,702
Ward 2,1250,WESTWOOD,682,266,255,1424,117,680
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0
Ward 2,3010,ATHLONE,1069,287,229,1168,98,292
Ward 2,3020,BARANOW,302,68,110,398,114,376
Ward 2,3050,BROWN INDUSTRIAL,0,0,0,0,0,0
Ward 2,3060,CAERNARVON,1419,242,221,1548,117,706
Ward 2,3070,CALDER,1026,344,388,1473,165,828
Ward 2,3090,CARLISLE,1373,184,265,1641,101,348
Ward 2,3111,GRIESBACH,862,155,148,860,60,1667
Ward 2,3150,CUMBERLAND,2584,277,220,2167,89,1102
Ward 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0
Ward 2,3170,DOVERCOURT,753,188,165,783,67,162
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 2,3240,INGLEWOOD,1269,402,490,2012,339,2259
Ward 2,3250,KENSINGTON,1250,219,230,1203,387,371
Ward 2,3260,LAUDERDALE,850,266,195,1090,132,324
Ward 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0
Ward 2,3320,OXFORD,1476,116,108,1014,84,655
Ward 2,3340,PEMBINA,178,32,31,163,31,107
Ward 2,3350,PRINCE CHARLES,387,146,74,656,33,298
Ward 2,3360,RAMPART INDUSTRIAL,0,0,0,0,0,0
Ward 2,3390,ROSSLYN,955,234,223,888,362,314
Ward 2,3410,SHERBROOKE,798,174,198,973,84,262
Ward 2,3430,WELLINGTON,1090,241,207,1241,141,239
Ward 2,3450,WOODCROFT,812,140,266,896,211,367
Ward 2,3460,ALBANY,206,41,33,127,5,213
Ward 2,3470,CARLTON,1581,186,137,1549,74,321
Ward 2,3480,HUDSON,694,77,59,706,37,421
Ward 2,3490,GOODRIDGE CORNERS,0,0,0,0,0,0
Ward 2,4015,ANTHONY HENDAY MISTATIM,0,0,0,0,0,0
Ward 2,4023,ANTHONY HENDAY RAMPART,0,0,0,0,0,0
Ward 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,0,0,0,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0
Ward 3,2050,BELLE RIVE,1698,99,119,1593,111,218
Ward 3,2210,CRYSTALLINA NERA,0,0,0,0,0,0
Ward 3,2241,EAUX CLAIRES,1153,132,165,1119,67,512
Ward 3,2260,EVANSDALE,1968,267,382,2546,184,511
Ward 3,2410,KILKENNY,2012,266,365,2371,176,535
Ward 3,2440,KLARVATTEN,2339,274,206,2063,103,524
Ward 3,2450,LAGO LINDO,1691,227,212,1496,108,305
Ward 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0
Ward 3,2511,MAYLIEWAN,1899,107,116,1634,139,311
Ward 3,2600,OZERNA,1959,145,172,1828,141,254
Ward 3,2700,SCHONSEE,1062,78,70,960,56,237
Ward 3,3030,BATURYN,1913,273,322,1949,151,304
Ward 3,3040,BEAUMARIS,1885,175,252,1502,322,389
Ward 3,3080,CANOSSA,1299,146,115,1199,37,360
Ward 3,3120,CHAMBERY,975,46,43,864,28,323
Ward 3,3180,DUNLUCE,2091,375,386,2390,140,1082
Ward 3,3190,ELSINORE,1088,77,71,799,71,148
Ward 3,3280,LORELEI,1523,147,236,1758,128,358
Ward 3,3370,RAPPERSWILL,377,77,23,382,6,130
Ward 3,3490,GOODRIDGE CORNERS,0,0,0,0,0,1317
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0
Ward 4,2030,BANNERMAN,972,230,248,1210,76,325
Ward 4,2070,BELMONT,1836,372,338,2258,185,331
Ward 4,2080,BELVEDERE,1482,406,513,2189,229,627
Ward 4,2110,BRINTNELL,2269,352,186,2186,68,686
Ward 4,2120,CANON RIDGE,623,216,165,796,51,371
Ward 4,2130,CASSELMAN,1178,281,286,1674,83,182
Ward 4,2145,CLAREVIEW TOWN CENTRE,965,242,196,1389,52,483
Ward 4,2160,CLOVER BAR AREA,0,0,0,0,0,0
Ward 4,2251,EBBERS,0,0,0,0,0,0
Ward 4,2270,EVERGREEN,345,133,138,389,61,435
Ward 4,2280,FRASER,1198,183,210,1356,56,333
Ward 4,2311,GORMAN,0,0,0,0,0,0
Ward 4,2320,HAIRSINE,692,207,209,1132,66,213
Ward 4,2340,HOLLICK-KENYON,2263,259,173,2134,89,667
Ward 4,2350,HOMESTEADER,1086,288,207,1617,79,292
Ward 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0
Ward 4,2390,KERNOHAN,1229,169,225,1101,84,245
Ward 4,2430,KIRKNESS,1353,279,272,1724,88,231
Ward 4,2500,MATT BERRY,1851,134,135,1689,92,308
Ward 4,2521,MCCONACHIE AREA,1068,223,96,1040,20,296
Ward 4,2530,MCLEOD,1042,121,135,773,109,100
Ward 4,2541,MILLER,1159,170,156,1120,128,484
Ward 4,2590,OVERLANDERS,766,308,232,1216,74,350
Ward 4,2611,CY BECKER,0,0,0,0,0,0
Ward 4,2630,RIVER VALLEY HERMITAGE,0,0,0,0,0,0
Ward 4,2670,RURAL NORTH EAST HORSE HILL,126,13,13,88,11,10
Ward 4,2680,RURAL NORTH EAST NORTH STURGEON,90,10,4,59,4,310
Ward 4,2690,RURAL NORTH EAST SOUTH STURGEON,362,12,12,252,12,35
Ward 4,2710,SIFTON PARK,706,107,124,993,55,314
Ward 4,2720,YORK,1399,228,289,1632,162,362
Ward 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0
Ward 4,4021,ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0
Ward 4,4022,ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0
Ward 5,3270,LAURIER HEIGHTS,1199,89,120,871,181,272
Ward 5,3382,RIVER VALLEY LAURIER,0,0,0,0,0,0
Ward 5,4012,ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0
Ward 5,4070,CALLINGWOOD NORTH,697,202,249,983,55,262
Ward 5,4080,CALLINGWOOD SOUTH,1431,376,444,2143,203,1298
Ward 5,4110,DECHENE,897,46,60,582,48,56
Ward 5,4120,DONSDALE,622,21,28,438,20,231
Ward 5,4140,ELMWOOD,978,159,152,1122,94,179
Ward 5,4160,GARIEPY,923,56,117,645,57,106
Ward 5,4220,JAMIESON PLACE,1817,167,162,1568,116,121
Ward 5,4270,LYMBURN,2179,354,379,2412,135,549
Ward 5,4280,LYNNWOOD,1193,181,199,1194,103,634
Ward 5,4360,OLESKIW,1658,66,91,926,78,187
Ward 5,4380,ORMSBY PLACE,2044,291,320,2268,108,419
Ward 5,4390,PATRICIA HEIGHTS,589,143,102,703,33,246
Ward 5,4420,QUESNELL HEIGHTS,197,7,13,144,6,16
Ward 5,4430,RIO TERRACE,606,67,66,443,51,71
Ward 5,4440,RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0
Ward 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,0
Ward 5,4460,RURAL WEST,242,16,13,132,11,82
Ward 5,4461,THE HAMPTONS,4192,683,364,3906,118,1536
Ward 5,4462,EDGEMONT,54,9,3,37,2,10
Ward 5,4466,CAMERON HEIGHTS,700,58,46,544,7,107
Ward 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0
Ward 5,4551,GRANVILLE,423,47,35,233,9,238
Ward 5,4560,THORNCLIFF,1159,249,212,1424,94,558
Ward 5,4570,WEDGEWOOD HEIGHTS,778,58,46,529,30,181
Ward 5,4610,WESTRIDGE,737,35,33,441,45,47
Ward 5,4720,GLASTONBURY,2556,308,319,2010,233,809
Ward 6,1020,BOYLE STREET,996,292,489,1760,269,3107
Ward 6,1030,CENTRAL MCDOUGALL,1039,510,415,2038,122,1541
Ward 6,1090,DOWNTOWN,2074,857,717,4647,496,4357
Ward 6,1140,MCCAULEY,801,325,541,1443,177,1880
Ward 6,1150,OLIVER,3689,1409,1705,6624,721,4987
Ward 6,1180,QUEEN MARY PARK,1612,428,407,2660,119,1999
Ward 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0
Ward 6,1210,RIVERDALE,686,191,163,731,58,233
Ward 6,1220,ROSSDALE,286,75,60,289,17,118
Ward 6,3200,GLENORA,1373,146,181,1205,98,569
Ward 6,3210,GROVENOR,722,160,139,727,64,570
Ward 6,3300,MCQUEEN,526,83,121,567,98,421
Ward 6,3310,NORTH GLENORA,691,139,139,791,75,260
Ward 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0
Ward 6,3440,WESTMOUNT,1524,423,386,1840,126,1812
Ward 7,1010,ALBERTA AVENUE,1745,508,581,2733,193,805
Ward 7,1070,CROMDALE,535,177,161,1091,56,197
Ward 7,1080,DELTON,475,126,129,589,73,530
Ward 7,1100,EASTWOOD,792,280,357,1546,151,1178
Ward 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0
Ward 7,1130,ELMWOOD PARK,281,86,84,399,46,425
Ward 7,1160,PARKDALE,796,324,297,1554,121,542
Ward 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0
Ward 7,1240,VIRGINIA PARK,188,40,89,169,123,157
Ward 7,1270,YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0
Ward 7,2010,ABBOTTSFIELD,447,119,142,864,39,278
Ward 7,2020,BALWIN,1175,185,311,1533,183,599
Ward 7,2040,BEACON HEIGHTS,910,261,291,1172,187,266
Ward 7,2060,BELLEVUE,291,95,76,273,29,247
Ward 7,2090,BERGMAN,632,111,88,589,54,91
Ward 7,2100,BEVERLY HEIGHTS,1085,300,349,1058,244,361
Ward 7,2230,DELWOOD,1316,213,225,1143,222,307
Ward 7,2290,GLENGARRY,972,205,222,1021,220,254
Ward 7,2330,HIGHLANDS,976,214,212,915,128,221
Ward 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0
Ward 7,2400,KILDARE,922,196,220,1042,194,393
Ward 7,2420,KILLARNEY,1020,380,309,1793,156,569
Ward 7,2550,MONTROSE,686,264,282,1170,115,671
Ward 7,2560,NEWTON,996,214,230,1027,136,301
Ward 7,2580,NORTHMOUNT,1159,108,163,979,139,798
Ward 7,2640,RIVER VALLEY HIGHLANDS,0,0,0,0,0,0
Ward 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0
Ward 7,2660,RUNDLE HEIGHTS,1006,348,223,1693,95,201
Ward 8,5040,BELGRAVIA,918,85,100,897,68,282
Ward 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0
Ward 8,5200,GARNEAU,1260,431,282,3422,210,4337
Ward 8,5290,MCKERNAN,525,81,80,1138,37,924
Ward 8,5330,QUEEN ALEXANDRA,981,366,277,1901,107,1406
Ward 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0
Ward 8,5390,RIVER VALLEY WALTERDALE,0,0,0,0,0,0
Ward 8,5480,STRATHCONA,1987,721,564,3192,168,2986
Ward 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0
Ward 8,5580,WINDSOR PARK,590,28,40,563,35,1789
Ward 8,6040,BONNIE DOON,1344,326,371,1838,190,622
Ward 8,6061,CAPILANO,1052,73,97,659,84,650
Ward 8,6070,CLOVERDALE,353,86,75,253,29,76
Ward 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0
Ward 8,6230,FOREST HEIGHTS,1162,279,255,1168,192,1044
Ward 8,6240,FULTON PLACE,785,86,108,560,122,500
Ward 8,6270,GOLD BAR,829,123,153,612,110,885
Ward 8,6310,HOLYROOD,1089,266,285,1277,120,439
Ward 8,6320,IDYLWYLDE,413,112,137,461,128,547
Ward 8,6350,KENILWORTH,945,137,191,837,148,234
Ward 8,6380,LAMBTON INDUSTRIAL,0,0,0,0,0,217
Ward 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0
Ward 8,6550,OTTEWELL,2131,402,401,1881,369,801
Ward 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0
Ward 8,6630,RIVER VALLEY RIVERSIDE,0,0,0,0,0,0
Ward 8,6710,STRATHEARN,693,243,323,1014,153,229
Ward 8,6730,TERRACE HEIGHTS,661,185,167,749,100,410
Ward 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0
Ward 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0
Ward 9,5080,BRANDER GARDENS,872,112,188,914,68,344
Ward 9,5090,BROOKSIDE,901,80,75,655,61,248
Ward 9,5100,BULYEA HEIGHTS,1815,57,86,1126,95,357
Ward 9,5130,CARTER CREST,828,29,66,537,33,186
Ward 9,5190,FALCONER HEIGHTS,909,32,76,663,134,267
Ward 9,5230,HENDERSON ESTATES,1004,27,57,625,41,102
Ward 9,5300,OGILVIE RIDGE,574,22,22,274,23,60
Ward 9,5340,RAMSAY HEIGHTS,1487,116,161,1022,81,556
Ward 9,5350,RHATIGAN RIDGE,1782,51,88,1047,80,208
Ward 9,5380,RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0
Ward 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0
Ward 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0
Ward 9,5451,RICHFORD,294,15,17,182,20,68
Ward 9,5452,MACEWAN,2310,321,256,2209,117,621
Ward 9,5453,BLACKMUD CREEK,1225,95,92,826,43,423
Ward 9,5454,RUTHERFORD,4200,481,384,3812,128,1432
Ward 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,0
Ward 9,5457,CALLAGHAN,960,101,83,773,26,304
Ward 9,5458,ALLARD,654,73,20,283,14,426
Ward 9,5461,HERITAGE VALLEY AREA EAST,0,0,0,0,0,0
Ward 9,5462,CHAPPELLE AREA,609,169,58,661,10,100
Ward 9,5463,DESROCHERS AREA,0,0,0,0,0,0
Ward 9,5464,HERITAGE VALLEY TOWN CENTRE AREA,0,0,0,0,0,0
Ward 9,5465,HAYS RIDGE AREA,0,0,0,0,0,0
